Ativo,Data,Último (R$),Var. Dia (%),Var. Sem. (%),Var. Mês (%),Var. Ano (%),Var. 12M (%),Val. Mín,Val. Máx,Volume,Variação Dia %,Valor Inicial (R$),Var Semanal %,Vlr Inicial Sem (R$),Qtd de Ações,Var Dia (R$),Var Sem (R$),Resultado Dia,Resultado Semana,Nome da Empresa,Segmento,Idade,Cat_Idade
USIM5,1/26/2024,"9,50","5,20","11,76","2,26","2,26","15,97","9,18","9,56","319,16 M","0,052","9,03","0,12","8,50",515.117.391,"241.889.725,43","514.933.025,43",Subiu,Subiu,Usiminas,Siderurgia,60,Entre 50 e 100 anos
CMIN3,1/26/2024,"6,82","2,40","2,4","-12,11","-12,11","50,56","6,66","6,86","32,65 M","0,024","6,66","0,02","6,66",1.110.559.345,"177.515.970,30","177.515.970,30",Subiu,Subiu,CSN Mineração,Mineração,81,Entre 50 e 100 anos
PETR3,1/26/2024,"41,96","2,19","7,73","7,64","7,64","77,55","40,81","42,34","436,69 M","0,022","41,06","0,08","38,95",2.379.877.655,"2.140.059.393,53","7.165.276.351,08",Subiu,Subiu,Petrobras,Energia/Petróleo,69,Entre 50 e 100 anos
SUZB3,1/26/2024,"52,91","2,04","2,14","-4,89","-4,89","18,85","51,89","53,17","162,55 M","0,020","51,85","0,02","51,80",683.452.836,"722.946.282,71","757.642.330,56",Subiu,Subiu,Suzano,Papel e Celulose,96,Entre 50 e 100 anos
CPFE3,1/26/2024,"37,10","2,03","2,49","-3,66","-3,66","20,7","36,37","37,32","73,42 M","0,020","36,36","0,02","36,20",187.732.538,"138.573.955,06","169.212.060,96",Subiu,Subiu,CPFL Energia,Energia,109,Mais de 100 anos
PRIO3,1/26/2024,"45,69","1,98","2,42","-0,78","-0,78","8,08","44,25","45,69","319,92 M","0,020","44,80","0,02","44,61",800.010.734,"709.687.498,18","863.669.467,45",Subiu,Subiu,PetroRio,Energia/Petróleo,11,Menos de 50 anos
PETR4,1/26/2024,"39,96","1,73","6,47","7,3","7,3","95,01","38,91","40,09","1,64 B","0,017","39,28","0,06","37,53",4.566.445.852,"3.103.136.291,22","11.088.704.708,47",Subiu,Subiu,Petrobras,Energia/Petróleo,69,Entre 50 e 100 anos
VALE3,1/26/2024,"69,50","1,66","2,06","-9,97","-9,97","-23,49","67,5","69,81","1,89 B","0,017","68,37","0,02","68,10",4.196.924.316,"4.762.926.995,25","5.887.454.970,82",Subiu,Subiu,Vale,Mineração,80,Entre 50 e 100 anos
MULT3,1/26/2024,"28,19","1,58","2,03","-0,81","-0,81","24,02","27,71","28,36","104,16 M","0,016","27,75","0,02","27,63",268.505.432,"117.732.680,08","150.596.994,02",Subiu,Subiu,Multiplan,Shopping Centers,48,Menos de 50 anos
ITUB4,1/26/2024,"32,81","1,48","-0,39","-3,36","-3,36","34,25","32,35","32,91","473,2 M","0,015","32,33","0,00","32,94",4.801.593.832,"2.297.591.984,33","-616.812.714,74",Subiu,Desceu,Itaú Unibanco,Serviços Bancários,13,Menos de 50 anos
RDOR3,1/26/2024,"27,56","1,43","3,41","-4,17","-4,17","-6,01","26,9","27,91","71,62 M","0,014","27,17","0,03","26,65",1.168.230.366,"453.917.907,01","1.061.694.444,49",Subiu,Subiu,Rede D'Or,Saúde,42,Menos de 50 anos
BRKM5,1/26/2024,"18,55","1,42","5,1","-15,14","-15,14","-18,39","18,29","18,73","43,31 M","0,014","18,29","0,05","17,65",265.877.867,"69.054.317,64","239.328.026,71",Subiu,Subiu,Braskem,Química,19,Menos de 50 anos
AZUL4,1/26/2024,"14,27","1,42","8,85","-10,87","-10,87","18,52","13,8","14,36","270,24 M","0,014","14,07","0,09","13,11",327.593.725,"65.452.205,55","380.079.446,33",Subiu,Subiu,Azul,Transporte Aéreo,14,Menos de 50 anos
RRRP3,1/26/2024,"28,75","1,41","-2,71","9,4","9,4","-37,7",28,"28,75","78,44 M","0,014","28,35","-0,03","29,55",235.665.566,"94.204.643,35","-188.727.447,95",Subiu,Desceu,3R Petroleum,Energia/Petróleo,11,Menos de 50 anos
